Date,Open,High,Low,Close,Volume,Adj Close
2020-11-07,383.57,392.87,355.6,365.53,19961.76104,365.53
2020-11-08,365.63,387.8,363.09,380.45,8680.62863,380.45
2020-11-09,380.44,386.65,369.09,375.64,11572.85828,375.64
2020-11-10,375.85,385.38,371.55,382.44,9135.67193,382.44
2020-11-11,382.22,405.86,381.36,394.54,13249.06772,394.54
2020-11-12,394.48,399.73,385.04,393.31,11737.11276,393.31
2020-11-13,393.42,405.07,389.27,404.25,10160.26358,404.25
2020-11-14,404.25,404.96,383.83,390.84,6774.43974,390.84
2020-11-15,391.05,392.54,373.56,379.94,6828.71392,379.94
2020-11-16,379.72,394.04,377.41,389.79,9433.50697,389.79
2020-11-17,389.73,409.97,389.27,407.43,14061.66847,407.43
2020-11-18,407.51,417.24,386.4,404.76,17228.92057,404.76
2020-11-19,404.75,406.46,394.61,398.64,11026.29639,398.64
2020-11-20,398.59,435.08,397.72,431.2,20342.44754,431.2
2020-11-21,431.04,465.84,425.53,465.46,22698.61849,465.46
2020-11-22,465.5,491.32,431.4,473.56,27008.39165,473.56
2020-11-23,473.27,517.66,464.0,515.77,27283.25464,515.77
2020-11-24,515.55,526.79,500.0,510.35,28267.38475,510.35
2020-11-25,510.41,511.7,467.5,480.02,22469.37196,480.02
2020-11-26,479.88,485.94,402.73,438.62,50812.40523,438.62
2020-11-27,438.67,447.7,415.53,435.23,23230.30277,435.23
2020-11-28,435.44,460.94,425.81,451.83,17175.33036,451.83
2020-11-29,451.76,483.87,445.72,483.3,16003.74114,483.3
2020-11-30,483.46,515.25,478.69,515.02,26095.59162,515.02
2020-12-01,514.93,533.72,470.42,487.34,43869.63506,487.34
2020-12-02,486.85,503.22,478.42,493.47,24594.46391,493.47
2020-12-03,493.57,513.84,485.33,508.63,16262.22798,508.63
2020-12-04,508.5,511.39,468.41,469.74,16446.14849,469.74
2020-12-05,469.23,494.62,464.56,494.34,8341.48674,494.34
2020-12-06,494.32,502.54,483.15,496.54,8117.94253,496.54
2020-12-07,496.91,499.85,484.33,489.37,10217.47392,489.37
2020-12-08,489.41,492.49,455.0,459.84,16088.92917,459.84
2020-12-09,459.87,482.38,438.45,476.4,21127.23235,476.4
2020-12-10,476.16,477.93,452.72,461.5,16471.95761,461.5
2020-12-11,461.86,463.24,442.64,450.79,19774.11748,450.79
2020-12-12,450.86,474.8,449.66,470.34,7218.38144,470.34
2020-12-13,470.53,490.7,466.4,487.0,10355.0269,487.0
2020-12-14,487.0,487.75,474.13,483.63,11192.65906,483.63
2020-12-15,483.65,490.92,477.92,485.75,9808.72499,485.75
2020-12-16,485.69,525.0,479.23,524.0,22604.17806,524.0
2020-12-17,523.95,553.0,511.08,524.5,40862.22462,524.5
2020-12-18,524.55,544.0,513.76,534.99,19640.59631,534.99
2020-12-19,534.94,547.7,528.38,538.04,17420.30934,538.04
2020-12-20,537.97,540.95,510.0,523.78,19133.69479,523.78
2020-12-21,523.58,532.65,493.0,498.11,24894.6804,498.11
2020-12-22,498.1,524.0,483.19,523.34,21429.38998,523.34
2020-12-23,522.77,524.34,454.88,481.48,26841.20754,481.48
2020-12-24,481.53,506.41,465.34,503.83,24152.33035,503.83
